know:122
white:102
love:93
friends:92
one:81
out:81
over:81
guy:79
girls:64
@commonwhitegrls:58
taken:52
http://t.co/qQwZjtYmMM:50
lol:50
@mrmakehersmile:49
never:45
good:40
see:39
make:37
me:36
boy:35
want:35
need:34
it:33
dont:32
girl's:32
man:32
bitch:30
everything:30
now:29
right:29
beautiful:28
little:28
think:28
find:27
pretty:27
old:26
tell:26
world:26
look:24
much:24
baby:23
day:23
happy:23
really:23
something:23
time:23
fuck:22
lying:22
real:22
way:22
nigga:21
night:21
@besttextmsgs:20
@ltstyga:20
bother:20
down:20
face:20
getting:20
more:20
sexy:20
wanna:20
being:19
birthday:19
follow:19
here:19
life:19
shit:19
still:19
talk:19
back:18
call:18
everyone:18
next:18
stay:18
best:17
better:17
name:17
please:17
today:17
tonight:17
called:16
fat:16
heart:16
looking:16
loves:16
school:16
take:16
up:16
@commonwhitegrl:15
ass:15
bad:15
flirting:15
hot:15
lost:15
men:15
@thegooglefact:14
always:14
bye:14
give:14
going:14
gotta:14
keep:14
kindness:14
lmao:14
mistaken:14
mom:14
stop:14
talking:14
thanks:14
well:14
age:13
amazing:13
big:13
come:13
dedicated:13
even:13
hope:13
last:13
new:13
okay:13
same:13
thing:13
told:13
two:13
video:13
yeah:13
11:12
@smokeycomedyy:12
another:12
china:12
hands:12
things:12
through:12
very:12
wait:12
year:12
young:12
@niallofficial:11
black:11
crazy:11
crying:11
eat:11
fucking:11
gone:11
great:11
guys:11
happiest:11
having:11
hey:11
ho:11
http://t.co/ca8oUGcR7I:11
miss:11
pregnant:11
problems:11
such:11
sum:11
takes:11
virginity:11
yes:11
yung:11
away:10
before:10
cookies:10
cry:10
cute:10
girlfriend:10
needs:10
nice:10
omg:10
put:10
smile:10
telling:10
tired:10
watch:10
wish:10
work:10
@thebovswho:9
boyfriend:9
buy:9
cause:9
damn:9
date:9
dick:9
dream:9
fight:9
food:9
friend:9
haha:9
hate:9
hit:9
home:9
lenqlenqz:9
mad:9
made:9
people:9
picture:9
pissed:9
proud:9
ride:9
saw:9
scout:9
second:9
seen:9
someone:9
song:9
started:9
true:9
until:9
used:9
@commonblackgurl:8
@iifebook:8
anything:8
dancing:8
doesnt:8
feel:8
feelings:8
feet:8
fire:8
funny:8
gonna:8
gossip:8
ill:8
kind:8
knows:8
liked:8
likes:8
long:8
making:8
mine:8
person:8
ready:8
sense:8
seriously:8
sure:8
text:8
tho:8
throw:8
wit:8
wonder:8
dance:7
doing:7
each:7
evil:7
favorite:7
fun:7
gives:7
god:7
hell:7
hoe:7
jealous:7
jeep:7
kissed:7
left:7
lonely:7
lose:7
met:7
niall:7
s/o:7
sex:7
shinee:7
super:7
thats:7
to:7
twitter:7
wife:7
wrong:7
@countrysayingss:6
@ddlovato:6
@wifethatgirl:6
alanjackson:6
behind:6
bullshit:6
cool:6
do:6
doors:6
dress:6
eyes:6
first:6
forever:6
four:6
guess:6
head:6
hug:6
job:6
less:6
lovin:6
lucky:6
mother:6
movie:6
nasty:6
party:6
porn:6
pornstar:6
prolly:6
pussy:6
rusty:6
saying:6
shake:6
shell:6
shes:6
show:6
