friends:166
kca:151
shit:151
singer:148
son:143
bestfriend:142
father:141
play:141
girlfriend:140
holy:140
allowed:139
spirit:139
maximum:136
known:132
female:131
celebrity:130
actor:128
china:127
votehangeng:127
@voteforhangeng:126
chinese:126
geng:126
han:126
influential:126
mando-pop:126
one:107
@kattwillliams:104
black:104
entire:101
gender:84
boy:83
@typicalgiri:74
blames:74
thugs:49
fbi's:48
best:47
white:47
favorite:46
being:42
know:39
want:36
mix:35
@urgentpart2:32
center:32
fbi:32
out:32
thug:32
stray:30
think:30
love:29
population:27
see:27
artist:26
ass:26
me:26
need:26
girls:25
make:25
man:25
men:25
votebieber:25
more:24
pit:23
bull:22
version:22
@male_bombshell1:21
lol:21
day:20
now:20
time:20
hold:19
manhattan:19
vote:19
butt:18
good:18
people:18
urgent:18
around:17
gay:17
justin:17
never:17
something:17
wait:17
way:17
dont:16
friend:16
girl:16
going:16
golf:16
rape:16
soccer:16
spa:16
virgin:16
voting:16
women:16
worshiped:16
choice:15
getting:15
it:15
life:15
mma2013:15
really:15
right:15
sex:15
sure:15
victims:15
yrs:15
(beautiful:14
bautista:14
brown:14
christian:14
confessions:14
control:14
course:14
erase:14
matter:14
me):14
new:14
old:14
real:14
call:13
cheerleaders:13
dog:13
first:13
funny:13
looking:13
maldives:13
needs:13
nominated:13
saying:13
stop:13
tonight:13
via:13
wrong:13
against:12
even:12
females:12
fucking:12
house:12
put:12
red:12
species:12
well:12
brain:11
brooklyn:11
called:11
film:11
find:11
fuck:11
guy:11
hair:11
show:11
trying:11
usb:11
very:11
@soccercouple:10
cleveland:10
dad:10
dating:10
guys:10
here:10
high:10
many:10
model:10
over:10
place:10
please:10
probably:10
take:10
tan:10
tired:10
work:10
years:10
@brownhrdontcare:9
always:9
down:9
eyes:9
found:9
great:9
kill:9
look:9
makes:9
models:9
much:9
nice:9
night:9
person:9
reason:9
strip:9
talk:9
talking:9
two:9
@itsjonnyj:8
@red3blog:8
@sharethis:8
believe:8
bitch:8
come:8
deuce:8
few:8
gigolo:8
haha:8
hate:8
hot:8
kcas:8
lot:8
males:8
movies:8
past:8
rapists:8
refusing:8
report:8
rescue:8
same:8
shelter:8
started:8
super:8
tall:8
teach:8
today:8
travel:8
unaltered:8
2013:7
748:7
=emergency=:7
@bieberbucks:7
age:7
animal:7
attention:7
attractive:7
awesome:7
az:7
better:7
bigalow:7
birth:7
both:7
